Model,Train_Time_Mean,Train_Time_Std,Predict_Time_Mean,Predict_Time_Std,All_Train_Times,All_Predict_Times
RandomForest,2.117099266052246,0.010040864120299454,0.017645292282104492,0.0026077399962048382,"[np.float64(2.1259047031402587), np.float64(2.1289198875427244), np.float64(2.1282956123352053), np.float64(2.1180177211761473), np.float64(2.119903898239136), np.float64(2.1171829223632814), np.float64(2.1201645851135256), np.float64(2.0942781448364256), np.float64(2.109741687774658), np.float64(2.1085834980010985)]","[np.float64(0.01875152587890625), np.float64(0.01919393539428711), np.float64(0.016167593002319337), np.float64(0.011954355239868163), np.float64(0.015560483932495118), np.float64(0.018514680862426757), np.float64(0.016161441802978516), np.float64(0.021886825561523438), np.float64(0.018906211853027342), np.float64(0.01935586929321289)]"
SVM,0.37300640106201166,0.0029206669082953857,0.02643298625946045,0.0030471420127842347,"[np.float64(0.3663497447967529), np.float64(0.3710987091064453), np.float64(0.3741105556488037), np.float64(0.37441201210021974), np.float64(0.37486681938171384), np.float64(0.3746474742889404), np.float64(0.3715852737426758), np.float64(0.3763283252716064), np.float64(0.3706181526184082), np.float64(0.37604694366455077)]","[np.float64(0.031127262115478515), np.float64(0.029129219055175782), np.float64(0.02615981101989746), np.float64(0.02867159843444824), np.float64(0.02361769676208496), np.float64(0.02668342590332031), np.float64(0.027801990509033203), np.float64(0.02079482078552246), np.float64(0.027782297134399413), np.float64(0.02256174087524414)]"
AdaBoost,3.799203658103943,0.011313781611851667,0.026539196968078615,0.0025758372957054286,"[np.float64(3.800283098220825), np.float64(3.808832788467407), np.float64(3.7974908351898193), np.float64(3.77455849647522), np.float64(3.7910149097442627), np.float64(3.7985435962677), np.float64(3.798870849609375), np.float64(3.7999651432037354), np.float64(3.800799083709717), np.float64(3.8216777801513673)]","[np.float64(0.02188076972961426), np.float64(0.02877383232116699), np.float64(0.030016994476318358), np.float64(0.028690481185913087), np.float64(0.024408864974975585), np.float64(0.029402399063110353), np.float64(0.02608933448791504), np.float64(0.026827192306518553), np.float64(0.023472070693969727), np.float64(0.02583003044128418)]"
XGBoost,2.340935935974121,0.006833720592792111,0.0021025371551513673,0.002088749932417601,"[np.float64(2.3406744480133055), np.float64(2.339833164215088), np.float64(2.339319610595703), np.float64(2.336725425720215), np.float64(2.335602378845215), np.float64(2.3307640075683596), np.float64(2.3405525207519533), np.float64(2.3475412368774413), np.float64(2.3573577880859373), np.float64(2.340988779067993)]","[np.float64(0.003124713897705078), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.003724527359008789), np.float64(0.0010132789611816406), np.float64(0.0), np.float64(0.0037892341613769533), np.float64(0.006249189376831055), np.float64(0.003124427795410156)]"
