Model,Train_Time_Mean,Train_Time_Std,Predict_Time_Mean,Predict_Time_Std,All_Train_Times,All_Predict_Times
RandomForest,2.090010418891907,0.012124264551907394,0.014816670417785643,0.0027478203594968327,"[np.float64(2.0877614974975587), np.float64(2.0943742752075196), np.float64(2.107734537124634), np.float64(2.077733278274536), np.float64(2.0779412746429444), np.float64(2.0809534549713136), np.float64(2.074243593215942), np.float64(2.087955665588379), np.float64(2.1037078857421876), np.float64(2.1076987266540526)]","[np.float64(0.01585354804992676), np.float64(0.015487861633300782), np.float64(0.010825490951538086), np.float64(0.009632539749145509), np.float64(0.01538381576538086), np.float64(0.01309046745300293), np.float64(0.019066619873046874), np.float64(0.015656805038452147), np.float64(0.015390396118164062), np.float64(0.017779159545898437)]"
SVM,0.7922530937194824,0.004786776183199634,0.060274324417114264,0.00371767296546619,"[np.float64(0.7925599575042724), np.float64(0.7908446311950683), np.float64(0.8002596855163574), np.float64(0.7901895046234131), np.float64(0.7954378604888916), np.float64(0.7946557521820068), np.float64(0.7897539615631104), np.float64(0.787638521194458), np.float64(0.7980029582977295), np.float64(0.7831881046295166)]","[np.float64(0.0634645938873291), np.float64(0.06126489639282227), np.float64(0.06117978096008301), np.float64(0.06135849952697754), np.float64(0.054742956161499025), np.float64(0.05525131225585937), np.float64(0.060206937789916995), np.float64(0.06459784507751465), np.float64(0.055312061309814455), np.float64(0.06536436080932617)]"
AdaBoost,9.728824100494384,0.0407301007348291,0.11664291858673097,0.004936020504933196,"[np.float64(9.787110567092896), np.float64(9.73202428817749), np.float64(9.684284782409668), np.float64(9.696556520462035), np.float64(9.664364004135132), np.float64(9.697863149642945), np.float64(9.775869369506836), np.float64(9.772073411941529), np.float64(9.719676971435547), np.float64(9.75841794013977)]","[np.float64(0.11638369560241699), np.float64(0.12031726837158203), np.float64(0.10997328758239747), np.float64(0.10719423294067383), np.float64(0.11381692886352539), np.float64(0.11862092018127442), np.float64(0.12190122604370117), np.float64(0.12232260704040528), np.float64(0.12119693756103515), np.float64(0.11470208168029786)]"
XGBoost,4.663451495170593,0.0321205587930964,0.006025953292846679,0.002024920254597049,"[np.float64(4.704865169525147), np.float64(4.6565944194793705), np.float64(4.670485210418701), np.float64(4.634159183502197), np.float64(4.696632719039917), np.float64(4.632587242126465), np.float64(4.598430490493774), np.float64(4.690773391723633), np.float64(4.688286924362183), np.float64(4.661700201034546)]","[np.float64(0.009189462661743164), np.float64(0.003979635238647461), np.float64(0.00834498405456543), np.float64(0.004149150848388672), np.float64(0.0063550472259521484), np.float64(0.003125429153442383), np.float64(0.006313800811767578), np.float64(0.0038004398345947267), np.float64(0.007508373260498047), np.float64(0.007493209838867187)]"
