Epoch,Train Loss,Test Loss,Test Accuracy,Precision,Recall,F1,AUC
1.0,0.687077984213829,0.6875729461510977,0.5500676589986468,0.5683012259194395,0.7904993909866017,0.6612328069281712,0.5921139717128572
2.0,0.6585069944461187,0.6805493036905924,0.571041948579161,0.6071019473081328,0.6455542021924482,0.6257378984651711,0.5969823710550857
3.0,0.634460891286532,0.6774019400278727,0.5852503382949933,0.6524926686217009,0.5420219244823387,0.5921490352628077,0.6139337074548059
4.0,0.615569069981575,0.668490082025528,0.6021650879566982,0.6834645669291338,0.5286236297198539,0.5961538461538461,0.647930930279553
5.0,0.595412532488505,0.6588118473688761,0.6143437077131259,0.7311233885819521,0.4835566382460414,0.5821114369501467,0.6804839478158018
6.0,0.5778293361266454,0.6507536669572195,0.6346414073071719,0.7469244288224957,0.5176613885505481,0.6115107913669064,0.6996386705895657
7.0,0.5606058736642202,0.6464685499668121,0.6271989174560216,0.7986725663716814,0.4397076735688185,0.5671641791044776,0.7186784501953107
8.0,0.5458615720272064,0.6356987357139587,0.6820027063599459,0.7468354430379747,0.6467722289890377,0.6932114882506527,0.7298418419086499
9.0,0.5301600048939387,0.6345031460126241,0.6596752368064953,0.8142292490118577,0.5018270401948843,0.6209495101733233,0.7415521406311123
10.0,0.5156316384673119,0.6207814912001292,0.696211096075778,0.7743362831858407,0.6394640682095006,0.7004669779853235,0.7546000441233451
11.0,0.5030750955144564,0.615132729212443,0.7009472259810555,0.808130081300813,0.6053593179049939,0.692200557103064,0.7658440814465041
12.0,0.490692600607872,0.6098063687483469,0.7090663058186739,0.8088467614533965,0.6236297198538368,0.7042640990371389,0.7747577387341791
13.0,0.48021506269772846,0.6058488488197327,0.7151556156968877,0.8048780487804879,0.6431181485992692,0.7149627623561273,0.7823291564469214
14.0,0.4692259853084882,0.5945314268271128,0.7293640054127198,0.7919556171983356,0.6954933008526187,0.7405966277561609,0.7920659551313782
15.0,0.4642308751742045,0.6005978882312775,0.7077131258457375,0.8595194085027726,0.5663824604141291,0.6828193832599119,0.8033767336488709
16.0,0.4492599790294965,0.5853564441204071,0.7503382949932341,0.798941798941799,0.7356881851400731,0.7660114140773621,0.8048061075608505
17.0,0.44062873472770053,0.580228586991628,0.7401894451962111,0.8217967599410898,0.679658952496955,0.744,0.8125907263110472
18.0,0.43348052601019543,0.5769997934500376,0.7483085250338295,0.8248914616497829,0.6942752740560292,0.753968253968254,0.8159277860277311
19.0,0.4275127450625102,0.5720567603905996,0.7672530446549392,0.797752808988764,0.7783191230207065,0.7879161528976573,0.8184027719842714
20.0,0.4186328997214635,0.5652580658594767,0.7631935047361299,0.8086500655307994,0.7515225334957369,0.7790404040404041,0.8220939308153363
21.0,0.416687307258447,0.5676086147626241,0.7489851150202977,0.8378378378378378,0.679658952496955,0.7505043712172159,0.8235956076878441
22.0,0.407480629781882,0.5640873163938522,0.7550744248985115,0.8236953455571228,0.7113276492082826,0.7633986928104575,0.8250361051322124
23.0,0.40074537446101505,0.5560255746046702,0.7652232746955345,0.7869249394673123,0.7917174177831913,0.7893139040680024,0.8272367106231588
24.0,0.3940921202301979,0.5569239308436712,0.7625169147496617,0.8133333333333334,0.7429963459196103,0.7765754296626353,0.8274128332193174
25.0,0.3906264727314313,0.5540519257386526,0.7679296346414073,0.8087855297157622,0.7624847746650426,0.7849529780564264,0.8281024922274317
26.0,0.38618582983811695,0.5513791491587957,0.7767253044654939,0.7838150289017342,0.8258221680876979,0.8042704626334519,0.8302363565240445
27.0,0.3791137660543124,0.5505717446406683,0.7672530446549392,0.806949806949807,0.7637028014616322,0.7847309136420526,0.8288329375209726
28.0,0.3734083448847135,0.5538549423217773,0.7658998646820027,0.8112712975098296,0.7539585870889159,0.7815656565656566,0.8279300774754033
29.0,0.3701990395784378,0.5479966402053833,0.7726657645466847,0.8004956629491945,0.7868453105968332,0.7936117936117936,0.8295809950741291
30.0,0.36830488592386246,0.5450278768936793,0.7713125845737483,0.7791907514450868,0.8209500609013398,0.7995255041518387,0.8311614636343918
31.0,0.36565187325080234,0.5459200789531072,0.7726657645466847,0.7829638273045507,0.8172959805115713,0.799761620977354,0.8309334312204184
32.0,0.3587657908598582,0.552210291226705,0.7672530446549392,0.8117647058823529,0.756394640682095,0.7831021437578815,0.8286512531586198
33.0,0.35684599230686825,0.5461062639951706,0.7692828146143437,0.7850356294536817,0.805115712545676,0.7949488875526157,0.8309946106485576
34.0,0.3536996990442276,0.5462178885936737,0.7713125845737483,0.7704367301231803,0.8380024360535931,0.8028004667444574,0.8325760061698525
35.0,0.350041002035141,0.5466620028018951,0.7719891745602165,0.7922705314009661,0.7990255785627284,0.7956337174044875,0.8309834871161685
36.0,0.3485434576869011,0.5479364693164825,0.7733423545331529,0.8022388059701493,0.7856272838002436,0.7938461538461539,0.8308110723641398
